Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
A2M	7754.18	5620.35	5892.83	442.979	2664.31		5045.82	3736.57	18646.6	22328.9	18685.1	23569.7	9768.36	11520.6	10173.4	9827.23
A2ML1	32035.8	20263.6	41873.4	8141.09	36518.1	19481.1	40409.8	23544.1	36757.6	20058.3	59819.6	56968.8	199034	21316.2	16958	41891.5
AAAS	12558.3	12979.1	13511.7	13954.7	19924.7	20913.5	24128.9	25115.5	13396.5	13024.5	13689.4	17021.7	16002.3	15891.9	15166.7	16772.5
AACS	8407.57	10065.8	7917.03	9757	23102.9	30278.9	25452.5	23954.9	9632.65	10106.3	9082.55	10898	6321.65	4061.36	3358.25	5882.85
AAGAB	13897.2	12540.9	17038.5		13519.9	10483.2	11908	10579.7	14976.2	11205.1	13990.6	15503.7	10078.8	6625.88	7178.26	13601.5
AAK1	27327.3	29611.8	26066.6	25032.5	10807.8	9751.9	10443.4	11729.8	18608.6	17913.5	18199.8	20070.4	18253.2	16132.4	16759.2	17834.6
AAMDC	15897.3	21032.5	13858.7	14751.7	9834.38	12450.3	10858.9	14375.8	12709	14642.9	15100.8	14566.2	8905.22	7213.69	8478.36	8124.69
AAMP	8028.38	7494.03	7217.09	8805.97	5880.47	8378.02	5882.16	4653.01	12953.3	13257.4	13620.4	13662.8	11915	13905.8	11527.3	11202.5
AARS1	108485	122904	113277	125463	109298	132057	116336	116314	83432.8	94807.5	65088.9	78021	98474.8	128244	109742	100712
AARS2	14039.7	12868.3	12342.6	11546.9	13308.4	12797.7	13416.1	12789.5	18326.8	16867.1	15620.1	20393.9	21529.5	16379.8	17207.4	19095.6
AARSD1	42505.6	46578.2	43035.6	41355.7	27923.8	25891.9	31055.7	25066.3	24552	21688.4	26626.1	27724.4	31674.1	22047.3	20796.9	27953.2
AASDHPPT	20366.3	21704.4	18469	19936.2	23921.3	26885.4	17601.8	17149.4	22523.9	21468.8	17818.2	21008.1	21264.8	22832.7	20312.6	19741.1
AASS	6077.61	5276.68	7008.41	4027.34	14756.4	12683.2	15827.7	13448.2			9463.14					
AATF	4404.49	4268.85	4037.15	2903.38	4467.39	4469.59	5860.61	6468.29	4571.78	3596.79	3461.14	4443.34	5591.66	4011.91	4619.17	5644.57
ABAT	1345.91	1743.51	1076.16	2461.29		500.155					1748.11		982.782	1548.33	1308.85	1304.11
ABCA1		2449.2	3041.19	1407.92					5992.72	4678.85	5813.87	6364.08	2670.4	1410.93	1877.96	
ABCA8	1437.62		1469.92	578.97												
ABCB1	5093.3	6976.62	21683.1		3561.96	5301.55	4783.21	6484.55								
ABCB10	8948.3	8526.86	7878.88	7524	10506.1	10248.8	10382	11290.5	15414.1	14586	13545.5	17740.7	14849.6	10534.6	11654.1	12138.3
ABCB6	5422.68	4431.52	5318.27	4305.16	9547.88	10433	11147	9509.51	4092.93	3469.76	4347.37					
ABCB7	9513.79	8315.59	9663.34	9613.02	9745.84	10308.6	10970.4	11843.5	15181.6	15276.8	13850	15142.6	16929.3	14046.5	13982.3	13644
ABCB8	12801.1	11666.9	12291	11473.6	9608.04	9124.15	9689.2	8845.11	19057.7	14904.5	15007.1	17171.7	19975.7	15964.9	14396.2	17018.4
ABCC1	14650.7	15613.9	17309.1	14265.4	16433.8	15967.8	16421.6	16192.9	13072.3	11813.1	12933.5	13559.4	15058.7	13426.9	12359.9	15244.4
ABCC10	4705.98	3561.12	4097.68	4123.67				607.322	5028.82	4745.72	3481.12	4877.4	4992.65	4567.43	4798.65	4738.5
ABCC3	2161.26	4877.78	3468.81	5099.18	4051.3	4375.68	2680.59	2911.33		1521.75						
ABCC4	9567.57	8755.22	7988.75	8208.35	13550.1	12683.3	12679.5	14513.9	6394.37	5705.05	7065.7	7310.69	7488.99	7691.45	6292.24	7608.63
ABCC5	4175.69	1577.72	2321.67	1924.63					10633.9	8720.58	9514.99	8716.71	2357.09	2414.74	1574.35	2288.98
ABCD1	14002.1	11072	11217.6	12245.3	10504.1	9696.72	11441.4	8808.5	26174.7	22980.5	25635.8	27169.6	42261.1	26155.1	38499.6	33382.7
ABCD3	31369.8	30374.7	44250.1	31243	12844.6	16213.6	13824.7	12766.5	24185.4	20787.7	21758.1	22714.4	27659.9	23089.3	25011.9	22347
ABCD4		1733.71	3536.21	1731.69		1889.58			13317.1	13824.9	13911.1	14398.6	6488.96	4712.13	4923.31	4889.22
ABCE1	64827.1	63673.2	57114.6	59154.4	57128.8	58934.4	54856.2	53534.4	52871.7	47640.5	46853.6	50287.7	82238.5	73676.8	78878.2	78800.2
ABCF1	45937.4	43213.8	38835.2	39007.1	41082.5	36817.6	33726.6	38309.1	39424.1	35402.7	35938.4	40689.5	37393.2	34383.4	35318.4	37557.7
ABCF2	43979.4	41130.3	35114.6	35915.7	37042.6	36864.3	38949.5	37497.4	35579.7	28825.3	36601.5	36430.3	32899.2	35226.4	35655.7	42687.5
ABCF3	22696.8	23712.1	20246.7	23006.6	15343.6	15641.5	15555.7	16048.4	22515.3	17988.9	21301.8	23123.9	24955.2	22269	22902.3	25518.3
ABCG2									2772.95	1766.95	2517.32	3088.35	3759.7	2773.13	3082.25	3542.05
ABHD10	35583.1	41477	34382.3	38167.2	27320.6	30768.9	32935	32740.2	51544.5	60488.1	48713	56775.4	49195.7	59185.6	67224.5	57066.7
ABHD11	8349.13	7863.41	9277.66	7409.82	17333.8	16383.5	13947.8	13251.7	17767.2	17002.9	17688.8	19969.5	24077	20526.5	18181	19902.2
ABHD12	18586.4	16868.6	14170.5	13901	19692.6	22479.4	17035.4	19789.3	69322.5	65083.7	72878.7	66880.1	47289.5	47080.4	49816.3	48731.9
ABHD14B	28163.2	32493.1	36938.6	29822.3	13387.7	22233.1	25312.9	24018.9	51517.6	56564.2	52087.2	48282.3	45983.4	36166.9	41230.3	33166.3
ABHD16A	9544.84	10333.4	11986.3	12048.3	8014.71	7844.54	6071.22	7277.62	29335	30343.1	23470.3	28095.1	20519.9	21272.1	22455.7	18297.9
ABHD17A		2981.67	3234.76						5610.18	4913.54	6037.21	6219.12				2641.04
ABHD17B									2464.46	3144.64	2211.77	3503.35		1113.95		
ABHD2										3656.25			3365.64	5211.46	3647.83	3274.74
ABHD4	2523.24	2979.42	2715.8	3378.55	2164.42	3034.28	2015.25	1709.29	4272.41	3348.08	2996.91	2978.55	4531.81	3374.03	4213.58	3618.5
ABHD5	2214.77		2224.65			2961.43	2946.57	2480.97	2706.58	2073.49	2880.17			2271.23	1794.55	3510.98
ABHD6	3805.04	2063.86	2986.13	2566.3		1946.58	1846.33	2405.88	6771.79	5574.34	5576.5	6771.07	5508.31	4748.39	4690.46	5997.22
ABI1	7576.12	5975.13	11032.4	4872.44		3376.46			17167.9	22139.9	22482.9	15707.1	13028	15505	16671.2	15936.2
ABI2	8141.79	11106.1	9563.48	8845.19	22838.7	25463.5	24660	26996.3	6412.5	5274.32	6331.21	4811.1		2430.37	1604.1	4957.37
ABI3									43144	45846.9	33249.2	40625.6	73891.8	77991	71414.3	72855
ABI3BP	12629.7	14842.9	10758.6	14729.7		3382.27		2189.67					9217.81			
ABL1	5327.44	5426.82	6181.94	5971.91	2371.72	2616.41	2891.18	2813.96	4629.2	5287.56	5643.87	5059.66	2574.98	2971.85	2452.2	2542.05
ABL2	4259.43	4239.73	4848.62	4270.43	4221.12	6312.98	5316.5	4908.69	2655.41	2171.78	3274.95	3770.28	4549.73	3682.3	3367.75	3963.92
ABLIM1	16420.9	16202.5	17577	17918.3	4595.06	5945.87	5671.64	4807.21					12259.1		1190.44	
ABR	16824.9	14872.4	16370.5	16082.6	15663.9	16073.9	13955.4	14426.5	33136.2	28821.8	28256.1	28957.3	46376.1	51924.5	51102.1	48326.4
ABRACL		2814.67			5764.42	7547.92	4923.05	5382.65	8714.25	13079.6	12377.5	10342.2	7500.63		11867.7	8750.05
ABRAXAS2	10897.2	7434.46	7438.08	6729.8	9982.55	8915.9	9981.28	8882.95	13858	16563.8	18200.1	13930.3	15137.4	16420.2	16663.7	18652.9
ABT1		4394.49	5703.17	3360.64	9715.76	8496.5	7639.01	7481.5		5026.41		7961.75	8801.91	6041	6616.13	6641.84
ACAA1	70938	61309.1	55936.1	64085.8	28060.9	27676.1	29623.4	28340.4	102889	81677.8	74951.2	94214.6	135414	101833	101085	107875
ACAA2	35754	43877.8	50768.6	40817.3	54592.7	47866.7	43499.8	58525.1	130088	131830	128637	118654	232543	179520	196700	185955
ACACA	13394.6	13385	11823	13282.2	28008	30050.9	25987.2	26509.1	13138.5	12178.4	11262.1	13039.1	8175.62	7450.38	6877.94	8146.81
ACAD10	1528.72	1607.19	974.54	1124.47	2332.21	2720.11	1614.66	1460.04	1980.51	2167.48	2206.13	2978.12	2653.75	2193.33	1430.8	2376.97
ACAD11	6551.21	6069.35	6591.02	7368.94	5182.86	5570.52	6300.22	5568.89		4577.08			6631.51	5509.58	4252.35	5041.47
ACAD8	2145.01	1748.2	3024.97	2664.43	2030.45	1979.1	1806.94	1932.01	6784.64	9276.75	6960.92	8240.3	17994	12602.6	11859.7	9563.09
ACAD9	33792.1	33647.5	34072.6	33827.4	35653.6	36671.9	34684.5	39401.2	67403.1	74609.2	59241.4	69267	62763.2	48714.5	49655.3	51650.8
ACADM	27746.4	29393.7	31542.2	29833.9	52161.8	61225.4	58892.2	54862	178461	184093	157819	172347	263462	258823	266655	256180
ACADS	2840.74	2303.5	3001.03	2371.13	10870.1	10767.3	7700.83	8889.14	23803.8	20154.4	24098.8	26328.3	26265.1	20160.7	15253.5	26012.5
ACADSB	10041.8	6495.64	9957.26	5887.81	6422.21	5279.54	7072.87	5742.19	17104.6	16946.8	17446.7	16083.1	18350.9	21704.3	19023.7	19547.3
ACADVL	40156.8	42228.3	43031.4	43202.8	44911.6	54767.8	45626	42832.5	62452	62061.6	56955.9	63314.5	94075.9	92878.2	86643.2	82642.9
ACAP2	38056	35258.5	32548.5	28200.4	24234.9	25235.4	27552.9	25261.6	61459.8	54340.6	54800.7	58788.7	49993.9	44301	45116.4	48071.8
ACAT1	84057.7	93151.5	83826	81844.3	171091	193615	171509	198889	241596	236228	202797	243957	257986	218246	199431	220664
ACAT2	158555	218627	176306	206945	392206	465079	541833	458890	274816	359611	245386	275565	72197.2	74871.5	69540.1	68855
ACBD3	41505.6	37334.6	31459.8	35888.5	18031.6	16842.5	18572.5	18211.9	18611.2	14743.6	16726.4	18449.9	17693.4	16528.9	17715.5	18077.8
ACBD5	7688.97	6037.1	4674.46	7544.12	8250.36	7157.48	7768.06	7771.85	11683.8	10593.8	10718.8	12615.7	11064	6687.51	8349.37	9984.99
ACBD6	1922.51	2821.1	3052.26	2916.55		1908.05			2537.68	2947.64	2133.32	1988.25	1719.64	1683.12	1812.69	1770.86
ACE									9349.43	7106.75	7495.18	9363.45	10997.1	14544.7	13674	13284.3
ACIN1	34134.9	32420	30409.2	33403.5	42219.2	44057.6	41187	43841.8	39036.3	34461.2	30822.5	37965	37906.7	36121.2	35140	34773.2
ACLY	117909	139153	118204	147302	157540	164099	144254	156367	106850	120151	95405.3	97825.9	67695.4	80912.1	76393.5	72329.1
ACO1	13841	13150.8	11488.3	11861.6	15633.6	16804.6	16602	18769.1	22520.3	22315.9	20453.8	23608.8	17821.7	14329.8	16707.9	19564.3
ACO2	62807.6	66913.5	69170.5	58738.1	49891.9	58767.4	59894.4	54388.2	142253	142769	120389	139958	208532	190152	188051	204003
ACOT1	12365.4	19578.8	13717.6	18378.7	34105.2	8507.19	14370.4	10989.9	33782.4	31535.8	12076.3	23644.8	55903.1	42299.7	55807.6	49560.4
ACOT11									14077.6	12859.5	12114.5	13888	12884.1	15868.8	15380.9	17388.3
ACOT13	43080	61570.4	76840.3	73238.8	22092.6	30222.2	23861.8	24928.5	57263.5	57648.5	50147.3	50374.8	55550.8	52474.3	49685.1	47563.2
ACOT7	38938.4	39292.5	43126.4	42259	46946.2	60899.9	41482.6	40236.7	26726	25311.7	23512.7	22270.7	21331.7	22907.8	21799.2	20579.2
ACOT8	8652.58	9735.88	8579.59	9234.75	5974	7189.96	8451.65	8090.06	8389.09	9566.04	6951.46	8784	12100.5	10916.5	10217.8	10784.4
ACOT9	46080.8	47890.3	42931.1	46596.9	33719.6	32327.8	33731.4	32899.9	40739.9	35903.9	36550.9	42261	42190.9	39569.9	36660.7	37110.4
ACOX1	42684.3	50757.7	72224.6	49299.1	26898.4	33291.1	22829.5	19736.5	52363.6	61293.8	56061	52026.4	101120	107141	104603	89711.5
ACOX3	11818.4	12619.2	13478.9	12975.1	5306.44	5169.78	6086.34	5621.02	12356.2	14646.1	14959.3	15669.7	13667.5	12456.4	14183.8	13244.9
ACP1	122904	134992	88443.5	122544	52075.1	52924.4	67779.2	65531.8	93906.4	111044	69114.1	56486.5	74243.6	75232.2	70604.9	57298.6
ACP2	28497.5	30308.3	37131.8	25892.7	8208.5	10466.4	7219.78	9066.29	122334	104334	103075	114755	141705	115164	119639	116468
ACP3	6205.2	1757.01	3977.4	1050.62	4528.59	2643.18	6729.47	2962.06	17991.2	15338	18182.4	19535.2	19877.1	10988	13659.4	11282
ACP5	1655.27	1617.06							31416.9	17857.9	20464.3	23308.4	14433.6	15542.2	10196.3	12211.9
ACP7	1311.82	917.218	1514.19	823.547						1424.6	1961.82		6905.09			
ACSF2	5429.52	5291.55	3646.29	4120	5556.09	5441.17	4486.1	5497.38	10097.9	8990.08	11482.6	9724.68	21497	16190.5	19869.8	18448.6
ACSF3	6206.04	5658.79	6689.96	5973.82	6138.98	7295.48	6923.97	7443.43	18022	17245.7	15303.8	19021.5	19786	18702.9	19987.6	19227.7
ACSL1	16435.9	18859.3	17707.7	17446.6	21392.3	24236.6	23113.8	24740.1	109057	87614.8	104344	104029	155908	102310	121875	120332
ACSL3	67694.3	63869	61559.7	64965.5	157523	145223	175066	164314	59444.2	61567.1	50577.4	63793.1	38493.3	37571.7	35230.9	40710.9
ACSL4	10921.6	9380.39	13548.7	13386.9	24984	24412.1	21775.1	21393.9	33155.6	34083.3	31692.8	32608.7	26473.7	20680	26740.6	23204.2
ACSL5									8719.98	7868.7	8384.06	6701.68			6188.95	4567.03
ACSS1					9946.03	8465.45	8862.53	9174.94	20429.8	14723.3	16441	17774.6	9981.48	7873.88	7602.38	9296.75
ACSS2	18941.7	19206.1	18155.2	15636.7	41366.7	36966	49938.4	45457	29567.8	33404.1	28072.5	28334.4	20151.7	18841.8	11528.1	14980.8
ACSS3					7061.42	8537.46	7968.48	10167.2							3433.11	3265.27
ACTBL2	167198	343778	182973	297702	126120	96176.3	97506.3	68785.7	317434	272454	327535	335337	315206	280655	355590	343020
ACTG2	2442.4	3473.8	3325.85													
ACTL6A	26554.1	23921.4	26088.8	21093	52233.8	50133.3	60641.6	59860	20752.6	27324.5	24359	29228.2	27346.6	28681.2	23376.4	29788.3
ACTN1	419437	517740	488255	453098	68126.1	87634.5	74860.3	75236.6	131276	121151	128770	115721	169147	166780	192163	172662
ACTN4	387903	467713	476089	452230	272814	307154	277503	259850	140338	150281	143910	140200	220791	245938	237225	240252
ACTR10	14056.6	20090.9	12908.5	16631.3	11268.8	12879.3	10900	13398.3	13642	15708.8	12766	13906.3	11871.5	15212.3	13251.9	12593.7
ACTR1A	51196.8	53276.2	59041.6	52111	31531.8	31900.1	37172.5	38064.4	57197.2	52583.5	56006	55491.6	43742.1	45593.6	46616.2	45654
ACTR1B	12085.1	14667.4	13592.7	13970.1	8230.3	8419.4	9151.1	7940.96	15866.5	15550.8	15260	15743.5	15902.6	14557.9	13943.4	14295.2
ACTR2	58209.5	81600.7	122142	81411.9	22532	34578.6	25744.1	22679.3	142860	206913	172148	148036	160843	227633	223714	198289
ACTR3	32934.3	45344.4	71780.5	45868.1	27965.3	20027	20333.1	10326.4	87921.4	180573	117416	94554.7	78676.3	178200	158458	121475
ACTR5	9479.1	7314.21	8026.26	5231.49	12980.6	8490.35	12621.2	10025.8		6979.76			13939	7279.89	5924.97	
ACTR8	3977.07	4195.71	4851.21	4655.67	2537.91	2671.27	5009.44	3145.45	6748	5382.27	5067.43	4492.94	4119.37	4647.71	4797.79	4005.61
ACY1	11012.4	10818.8	8364.68	10157.8	12875.8	15605.3	15282.8	16804.4	21594.4	21960.2	17869.6	21231.3	25272.5	28028.3	27750	25492.3
ACYP1	8316.62	7938.13	8564.28	5960.85	23586	25062	20436.8	22590.4	11418.7	7795.14	8529.15	11303.6	7201.94	6526.31	6413.29	7771.01
ACYP2	5701.52	5303.21	4865.83	4296.81	3206.81	4576.47	2629.48	3700.9	12742.5	9951.49	13216.4	11748.5	12676.4	10596.9	10243.6	13198.4
ADA	9510.67	15390.5	15985.7	12184.8	7304.84	6669.52	7637.81	7053.12	32451.8	43486.5	33858.5	37154.3	14345	16459.1	12734.6	13745.3
ADA2									66561.2	87141.5	78262	76665.6	16175.9	16676.2	11476.9	14443
ADAL	3611.51	3656.56	3273.63	3947.3				1816.77	2543.35	2597.6	2211.67	2437.46	3223.86	1897.99	1557.77	1580.83
ADAM10	13774.5	17846.4	16917.6	14913.1	18185.3	16016.1	12559	9913.25	43182.1	45700.6	47546.8	43093.1	45364.7	41835.1	45817.5	41819.4
ADAM15	5638.52	6146.8	6032.85	6229.39	7133.22	5526.51	5916.16	5450.68		6059.63	4487.17	5693.23	5130.95	4096.96	2933.1	4166.6
ADAM17	4880.2	4800.72	5721	5343.46	3557.61	3632.25	4651.84	2203.1	7017.48	8090.72	8097.86	8517.84	6392.99	6986.55	6061.04	6433.63
ADAM28									3339.09	4367.85	3368.01	3470.67	6440.68	6570.21	6340.95	6171.19
ADAM9	6537.71	4955.4	6724.15	6329.83	4622.59	3142.59	2854.78	3125.65	9306.01	8071.03	8538.13	8500.35	4509.72	4076.43	3575.13	4318.25
ADAMTS1	4035.25	3805.43	3311.51	4446.39												
ADAMTS5	3645.81	1845.18	2884.47	2462.6												
ADAP1	1709.71	3194.71	3685.51	2891.38					18129.7	17367.9	17943.2	20441.9	23162.9	20221.1	21403.6	22097.9
ADAP2									10027.1	10955.7	9570.52	9991.21	8086.37	6228.22	6443.04	6634.76
ADAR	61011.6	60923.2	57503.6	65639.8	53862.9	58054.4	57179	56248.9	58248.5	54212.3	48615.7	55724.8	54254.8	61108.5	55494.6	51933.9
ADARB1	4244.6	2713.47	3197.71	3185.57	1120.59	1667.32	1491.4	3105.59	2554.5	2635.91	2281.66	2930.77	4314	2481.84	2880.94	3195.16
ADCK1			1746.29						2761.88	2966.16	2665.59	2395.98	2440.69	1569.46	2199.76	1617.18
ADCY3		1398.57	2048.26	1280.55			1143.5		2156.97	2367.72		1226.26	1640.75	1955.22	3125.63	3020.73
ADCY7		2069.49	2378.94	1298.33					4022.61	3060.92	3429.2	3342.45	2906.57	2903.33	3325.81	2759.2
ADD1	80969.9	80908.5	77362.8	70111.6	34518.7	35809.9	30545.6	27600.8	15208.2	16136.7	18114.4	18193.1	15255.4	13721.6	13431.9	13914.6
ADD2					3661.28	1808.8	2303.33	2483.35								
ADD3	58580.9	63274.6	56952.2	54917.7	18672.3	18671.4	16149.5	17551.5	9815.97	8135.15	12678.4	11036.3	9654.5	7772.15	9165.6	10542.2
ADGRA2	1933.44	2176.15	1474.19	2130.47												
ADGRE2									1722.01	1560.48	1894.42		4315.28	3469.27	4020.19	3290.89
ADGRL2	3412.28	3966.83	5158.03	3913.02												
ADH5	107255	100443	112951	107605	72672.9	84852.1	48915.2	51788.7	100340	73838.6	99881.3	95879.8	99618.9	57709.2	75815.3	81473.6
ADH7	45039.5	64168.8	52790.6	68047.9	42464.7	47984.4	48631	46830.7	30352.6	34588.6	27661	37061.4	19087.7	18886	13348.3	18709.5
ADI1	4350.67	6282.57	7934.18	5687.61		4502.48	3340.24		9867.28	11266.5	14568.6	9507.56	8244.17	7520.06	9468.6	10214.8
ADIRF					11976	12159.4	12186.9	11736.1				4516.23				
ADK	31724	31582.8	34354.1	24898.2	21711.8	27261.2	27969.1	25953.3	36022.1	38810.4	45712.5	41343.5	56670	53840.2	62224.1	58715.1
ADNP	9641.49	8911.89	9948.63	9986.2	15044.9	14069.3	17293.5	14342.7	6706.32	7521.36	9481.46	7478.91	8116.3	7891.53	8215.31	8212.41
ADO	11782.8	14115.9	11464.8	12770.9	13176.9	14458.8	16729.1	17076.9	18703.6	16435.5	15818.9	20758	20453.1	15980.1	23772.4	20068.8
ADPGK	11049.4	12251.8	17494.6	14238.9	9234.11	8785.86	9219.2	9164.19	31395.6	39822	32626.8	29743.2	37498.6	48052.5	50852.6	44402.1
ADPRH						5490.02			18362.3	11989.6	22114.5	20199	17222.3	10204	11606	14616.3
ADPRHL2	27381.2	22854.8	21254.3	19552.9	21834.4	24095.2	20186.8	19746.1	40524.5	38002.9	35266.6	38168.7	36815.5	39055.5	40117	37533.2
ADRM1	40166.2	57244.4	43679.4	46585.6	50841.8	52242.6	58955.4	56273.9	44520.7	47972.5	30142.9	38375.3	42401.2	55499.7	57833.5	42905.5
ADSL	25067.5	31894.3	34393.7	32750.9	14041.6	17403.2	13989.8	14702.3	39637.2	42772.4	37346.1	39018.1	31200.7	37925.8	35992.9	33191.6
ADSS2	49333.9	50265.3	64502.3	60427.8	38012.9	38960.4	38814.8	32619.4	35817.8	36350.4	35760.5	34085.7	45391.2	44818.7	50582.8	53927.4
AEBP1	7735.83	4431.93	5641.98	6255.68												
AFAP1	49760.4	58259.8	46186.8	57591.8	12920	11874.3	13522.8	15177.8	3685.95	3707.41	6811.57	9625.68	5018.89	3900.09		5801.68
AFDN	12129.9	12139.8	11619.6	11392.1	23542.9	20550.9	22298.2	22323.5	16793.1	14574.3	16760.6	18111.3	33117.4	29781.5	29888.4	30842.5
AFF4	6230.26	6395.67	6182.87	4364.49	7791.2	6064.9	7856.02	6504.29	5513.17	3368.91	5418.56	4841.38	4657.29	3417.97	2699.14	11429.6
AFG1L	3986.75	5014.19	6140.54	4222.83	3932.34	3942.35	3857.75	3553.7	8643.95	6222.25	8126.07	8893.55	10086.2	7097.39	9143.07	8003.72
AFG3L2	27206.4	26880.6	26889.3	27189.3	22929.3	22349.6	21510.4	22137.1	47375.3	45393	39324	46927.7	61552.9	48999.2	52770.9	53910.7
AFM	3150.65								14284	9161.83	10775.2	13089.5				1667.85
AFTPH	5812.54	5440.42	6144.16	5441.03		4982.8	4840.15	4553.58	8173.29	7404.67	7963.71	8237.63	10004.4	8737.68	7852.36	8861.56
AGA	827.283	744.705	1152.04				1772.66		1768.41	791.42		523.684	4712.29	1268.49		692.95
AGAP3	5904.07	6431.95	5034.87	5788.28	9186.81	8707.56	9356.57	9148.52	10783	9968.04	9519.34	11361	10357.1	8858.8	10564.6	11149
AGBL3	11805.5	9269.31	6302.44	5597.19	13080		13761.2	11253.8	15738.1	13304.9	18043.8	14707.4	15071.8	4168.79	5010.58	8225.85
AGFG1	16587	16962.4	21240.3	17766.3	13427.7	12880	15035.7	14025	16652.9	17616.7	21210.8	17757.8	14278.5	17734.5	14596.3	16440.2
AGK	41168.4	44651.6	41259.8	50804.6	49813.5	57895.9	47418.5	50778.3	41547.1	37237.4	35946.9	43970.4	56045.5	48126.1	45660.4	46055.7
AGL	16625.1	14696	14771.6	14192.8	16162.5	16816.1	15560.8	16788.8	22310.7	21651.5	20887.2	22672.6	24411.3	22865.4	24727.4	24016.1
AGO1	3771.43		4724.84	4152.27		4769.61			5358.35	5465.23	6699.33	6365.32	7268	8182.18	8595.22	8267.15
AGO2	8311.5	8463.5	7128.81	9668.08	7555.86	7951.16	8310.62	9088.25	4896.8	5147.21	5701.02	5300.65	4861.76	6350.98	5368.89	4914.41
AGO3	6925.12	7106.76	10685.9	8242.6					3741.59	7228.1	4847.02	2905.01	2467.33	4873.31	7232.76	2705.37
AGPAT2	4343.12	3073.32	3810.25	3717.06	5492.46	4679.78	3891.76	5305.37	7230.76	5564.54	5314.18	6001.62	6007.77	5195.43	5491.92	5761.42
AGPAT3	7483.09	8546.15	9130.51	8343.07	10650.1	11164.6	15782.8	8973.26	14446.2	15033.8	16217.6	14899.8	16082.3	15704.6	13716.7	17416.5
AGPAT4	5100.18	6274.44	7606.94	5385.33	5005.16	4943.51	4843.84	4837.5	5145.21	3467.29	5306.17	4981.19	12346.9	10793	13959.9	12316.8
AGPAT5	7275.56	5504.76	7862.76	5571.64	10885.1	12932.1	12884	11420.7	12190.4	14776	14037.8	15576.7	15853.8	16514.8	14264.1	13738.9
AGPS	22762.3	22794	24218.8	18994	24428.8	27286.9	22529.3	25273.9	36081.3	32646	38410.9	41062.8	40714.8	30157.3	34366.1	42754.4
AGR2			2621.05						85179.7	156157	53553.6	94269.3	5088.73	4256.69	3629.05	5441.66
AGRN	11894.4	10888.8	9221.87	11592.6	6767.15	7444.43	6537.44	7846.22	2894.06		3286.86					
AGT	2616.51	908.5	939.156						1026.77	1068.07	1012.47	1271.59	354.217	624.316	691.871	
AGTPBP1	3672.05	3573.49	2643.72	3203.93	4024.87	2198.8	2739.96	2355.99	3089.69	3453.44	3962.56	4647.7	3538.77	2544.68	2716.93	3626.7
AGTRAP			8854.18	2730.27	3470.75	3543.39			13013.7	15210.2	9865.29	15540		5350.28	4239.12	3652.7
AHCTF1	13154.9	11707	11718	11028.1	14415.4	16127	17356.5	16758.6	10501.3	8562	8986.42	10487.4	10509	9298.33	8132.9	9444.11
AHCY	162630	178205	203366	187138	125371	127292	122904	111515	309180	340753	347981	290286	309586	371646	324416	322394
AHCYL1	19259.6	23860.2	19522.4	18804.8	29662.5	29594.6	32780.6	28114.5	31513.5	24948	20143.9	25375.9	38278.4	31266.1	29455.4	38773.9
AHCYL2	14475.4	9614	8800.58	9007.69	9136.86	6319.31	9663.25	7621.63	13981	8926.08	11869.5	14236.4	12697.3	8693.39	8552.27	12134.8
