Genes	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-A4_1_8446.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-B4_1_8447.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-C4_1_8449.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_AST_50cell_S2-D4_1_8455.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-A1_1_8441.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-B1_1_8442.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-C1_1_8452.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_GSC_50cell_S2-D1_1_8456.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-A7_1_8453.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-B7_1_8454.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-C7_1_8448.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MAC_50cell_S2-D7_1_8451.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-A10_1_8443.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-B10_1_8444.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-C10_1_8445.d	E:\202406_Spheroid\ULT0076_20250219_NormoxiaBaseline4CellType\Normoxia_MIC_50cell_S2-D10_1_8450.d
NECTIN1	5905.77	6188.29	4882.39	5066.81	4184.5		2527.9				1666.79					
NECTIN2	20921.8	20231.1	14088.3	17757.3	9155.92	11303.5	11279.7	11981.7	9633.4	9366.19	7232.53	9575.96	8663.06	9204.5	9750.97	8149.06
NEDD1	9962.12	9181.45	8650.56	8902.05	13548.2	12613.1	13310.3	12895.3	8443.1	6488.81	8816.7	8794.95	6489.88	4208.74	4263.77	7028.93
NEDD4	4774.61	5125.63	5463.79	6559.79	5823.65	7889.2	4741.47	7311.58	3145.33	3278.15	5114.73	3516.54	1191.09	1342.97	1410.52	1960.19
NEDD4L	15450	14212.1	12429	14185.9	11924.9	10153.3	10884.1	9039.48	10662.6	8812.52	9228.21	11989.7	7353.28	4450.77	4837.96	5540.3
NEDD8	148358	190086	175093	195062	88691.7	78398.6	94938.5	86875.1	125218	145060	101560	112276	92602.8	119288	93752.8	93987.1
NEDD9	3313.16	3295.56	2828.6	2647.1	8144.18	9957.93	8050.28	7333.36	3625.73	4930.98	2668.22	3587.02	4420.78	3246.57	3919.6	4299.07
NEFH			3068.07	2601.42					4528.15	4038.58	4882.51	5124.84	6638.2	3922.4	4800.56	5225.95
NEFL	12238.6	7597.29	9647.17	4026.68	156043	180545	179261	143822		1143.29		85820.9				
NEGR1	5596.08	6145.66	5335.32	5178.34		1909.94										
NEK1	3244.17	4222.01	3649.86	3330.8	3647.44	2469.21	3699.64	2826.82	2309.76	2558.93	1956.8	2439.93		2783.53	1766.87	3024.49
NEK3	3259.93	3334.88	3073.18	3457.23	2775.39	2485.13	2574.27	4414.8	3476.45	2868.08	3071.76	3983.97	1839.1	1350.45	1936.19	2091.23
NEK6	3436.39	4829.52				4233.73			11568.2	10185	12037.3	8361.99	11296.1	10445.7	10077.7	10182.2
NEK7	9735.79	6340.84	7922.12	5646.78					8372.39	7676.14	9627.06	7740.76	11882.1	8444.74	6383.46	8215.52
NEK9	11570.3	14713.8	12839	11495	5810.55	6858.65	6156.01	7274.25	17380.9	18640.5	16141.6	20285.2	16441.5	16275.4	17752.2	16546.4
NELFA	8357.4	6988.95	7078.34	5532.62	11208.1	12168	11202.2	11941.2	7437.42	5781.11	7598.74	8288.34	7814.55	8124.95	6369.56	7532.53
